token_address,vol_24h,early_velocity_ratio,early_trade_dominance
0x1857bf4a300d5bf891e6476c14f19557e50cf65e,2532180.010362438,0.9999936680596224,0.00637814856958278
0xe2cfd7a01ec63875cd9da6c7c1b7025166c2fa2f,0,0,
0x82d36570842fc1ac2a3b4dbe0e7c5c0e2e665090,0,0,
0x98ebcc799fcb69969adfb376bc16b345a8e61c95,0,0,
0x229f68a40a64b15f0543a5a518f2b1046f1fe920,13877496.32690434,0.6896292523471828,0.001682286379011142
0x14d0d41c101a99ca55c622b0c6eb69c79b6689d4,3959603.4232609915,0.39331835781264,0.024656804495087226
0xd533a949740bb3306d119cc777fa900ba034cd52,0,0,
0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,0,0,
0xa776a95223c500e81cb0937b291140ff550ac3e4,920930.7612388653,0.016992969865148342,0.0057026451005584055
0x18aaa7115705e8be94bffebde57af9bfc265b998,0,0,
0x8e0eef788350f40255d86dfe8d91ec0ad3a4547f,0,0,
0xc4747853f4e8c6ed4b04583636d13ef54cd4a5d2,2010884.3919054898,0.9999293024480916,0.006251303271419072
0x724612d80e408d6c2c77140afd32e3420f2528e1,2046562.5314552335,0.9999988287053132,0.03520563077226392
0x4065289877f2c4f63fec3db966f1aa39f15d1411,3551615.7677554344,0.41913639429905025,0.013533694469960087
0xd7573933ab217832b3f463b16226180821a2466b,3355186.6123043443,0.997771591741006,0.02286296901601982
0x64901df4c8a9d43fbd0d9707e19da8e66cf46580,11386268.337184329,0.9096146020340857,0.0020244808995359166
0xddc0f880ff6e4e22e4b74632fbb43ce4df6ccc5a,0,0,
0x068afa9c5082d1202d59c5c103d6f123d0f4b2b7,7451167.984700912,0.9998773932210678,0.005165425633918008
0x2a179bfab23c71c733864776bea6e0dab9ecd79e,12462825.954831513,0.8524527913443397,0.0006368414170459247
0x4691937a7508860f876c9c0a2a617e7d9e945d4b,0,0,
0xb40865a6ed718f57468cd3f4f60825a130b89a51,485152.8280797403,0.03871496984379555,0.0076712527759190555
0x02ce0f1f6d04a0925aee71aaddbc226658fc6300,1133731.5182630045,0.053352041777323236,0.008550573857948093
0x4206931337dc273a630d328da6441786bfad668f,0,0,
0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0,0,
0xb4b9dc1c77bdbb135ea907fd5a08094d98883a35,0,0,
0xea60cd69f2b9fd6eb067bddbbf86a5bdeffbbc55,0,0,
0x70f711618d6568eaa393567fd0ea60e1b8ca67ab,10951932.320425782,0.27500783159099756,0.0036451363427855237
0x97ad75064b20fb2b2447fed4fa953bf7f007a706,0,0,
0x7522768b09ad36b130b40461697ce0e44d12540a,3226413.6074052523,0.9999432880944628,0.02035885235542193
