date,open,high,low,close,volume_btc,volume_usd,log_ret,abs_log_ret
2025-10-26,111671.84,115420.91,111281.45,114559.89,13255.98,1502383516.36,0.025533172574303244,0.025533172574303244
2025-10-27,114559.89,116395.5,113855.65,114115.08,18980.68,2184835505.2,-0.0038903301135596326,0.0038903301135596326
2025-10-28,114115.08,116105.23,112249.3,112930.68,20610.35,2354798941.53,-0.010433233756130004,0.010433233756130004
2025-10-29,112930.68,113669.5,109339.16,110064.53,25061.43,2800964736.4,-0.02570734899444721,0.02570734899444721
2025-10-30,110064.53,111617.77,106319.98,108326.41,33363.2,3623082463.09,-0.015917846225070312,0.015917846225070312
2025-10-31,108326.41,111081.78,108295.99,109580.94,24417.33,2677616192.81,0.01151447035404257,0.01151447035404257
2025-11-01,109580.94,110513.95,109378.81,110104.4,6377.31,701873036.06,0.004765552318320344,0.004765552318320344
2025-11-02,110104.4,111199.6,109485.51,110564.52,11170.49,1233024892.84,0.004170235362764072,0.004170235362764072
2025-11-03,110564.52,110748.58,105315.16,106580.38,34536.33,3707370586.13,-0.03669979970309837,0.03669979970309837
2025-11-04,106580.38,107289.91,98932.13,101493.23,57282.41,5883230356.44,-0.048907345509223474,0.048907345509223474
2025-11-05,101493.23,104543.57,98978.04,103893.5,35631.18,3649971434.76,0.023374239244277728,0.023374239244277728
2025-11-06,103893.5,104201.89,100266.6,101302.75,32306.54,3300189453.88,-0.02525277802019941,0.02525277802019941
2025-11-07,101302.75,104039.73,99207.58,103301.61,38050.15,3859784919.88,0.01953940370291528,0.01953940370291528
2025-11-08,103301.61,103353.75,101453.48,102304.79,13228.46,1353025871.14,-0.00969646674611647,0.00969646674611647
2025-11-09,102304.79,105466.47,101415.54,104721.32,17136.04,1768769402.16,0.023346231633399786,0.023346231633399786
2025-11-10,104721.32,106648.26,104270.97,105988.36,23693.26,2506360068.91,0.012026550197389387,0.012026550197389387
2025-11-11,105988.36,107489.75,102465.73,103033.54,22618.21,2363088563.61,-0.028274710470300543,0.028274710470300543
2025-11-12,103033.54,105327.79,100818.69,101660.22,23740.26,2442775374.2,-0.013418490198559585,0.013418490198559585
2025-11-13,101660.22,104048.87,97956.87,99644.14,44584.48,4485055113.5,-0.02003083698344537,0.02003083698344537
2025-11-14,99644.14,99836.81,94006.67,94531.81,64051.76,6169788916.03,-0.05266884749469156,0.05266884749469156
2025-11-15,94531.81,96761.57,94516.28,95555.28,18574.48,1779382556.84,0.010768536571634974,0.010768536571634974
2025-11-16,95555.28,96574.81,93006.43,94244.44,26755.82,2531966320.57,-0.013813095640665006,0.013813095640665006
2025-11-17,94244.44,95973.02,91244.75,92141.25,48309.81,4519819656.92,-0.022569106817697786,0.022569106817697786
2025-11-18,92141.25,93785.83,89289.38,92946.24,50671.19,4643651409.0,0.008698535765535063,0.008698535765535063
2025-11-19,92946.24,92963.84,88529.93,91483.02,48242.24,4367651167.54,-0.01586788020337704,0.01586788020337704
2025-11-20,91483.02,93082.73,86019.03,86553.58,56931.35,5067984092.5,-0.055389737149491323,0.055389737149491323
2025-11-21,86553.58,87404.99,80562.05,85087.62,89136.71,7497064318.5,-0.017082095054561458,0.017082095054561458
2025-11-22,85087.62,85562.12,83462.76,84696.98,23440.3,1978095092.65,-0.004601603317480551,0.004601603317480551
2025-11-23,84696.98,88106.69,84639.73,86823.45,27848.78,2411303412.83,0.024796800701129194,0.024796800701129194
2025-11-24,86823.45,89227.26,85242.01,88288.33,44709.41,3899541725.92,0.016731189325559982,0.016731189325559982
2025-11-25,88288.33,88494.81,86089.7,87340.82,32065.82,2799155557.35,-0.010789999185564406,0.010789999185564406
2025-11-26,87340.82,90634.17,86298.47,90487.28,30484.49,2694221350.78,0.03539135173163352,0.03539135173163352
