token_symbol,token_address,taxonomy,actually_fraud,confidence,consensus_votes,suspicion_score,p_fraud,p_fraud_loo
FLUTTER,0x22accab42ca2ae6ba110a0aa9ac7abc768266072,NORMAL,No,MEDIUM,0,0.71,,0.33
HYSG,0xd9376a68eb58b6e7c4f732cc418f96867739008d,NORMAL,No,LOW,0,0.697,,0.366
OWLNEKO,0x44a3d4cdefd2c3002b743c16fd4952e53e16ff1b,NORMAL,No,LOW,0,0.685,,0.661
BOSS,0x70f711618d6568eaa393567fd0ea60e1b8ca67ab,NORMAL,No,HIGH,0,0.665,,0.364
sDOLA,0xb45ad160634c528cc3d2926d9807104fa3157305,BENIGN,No,HIGH,0,0.658,,0.024
HANA,0x3aecb709e2e11cb6f7d74471ec37ddb7b5a1d751,NORMAL,No,MEDIUM,0,0.626,,0.349
BRO,0x79801ac51d18543579d26c5b392581d17b273b89,NORMAL,No,LOW,0,0.606,,0.309
MARGIN,0x7135476f3d048c97c3e9007f2848372fd8765184,NORMAL,No,LOW,0,0.587,,0.344
PENX,0x776a7e1711eafd10a9404994093bb985f3101711,NORMAL,No,MEDIUM,0,0.561,,0.374
SUPERGROK,0xf7285d17dded63a4480a0f1f0a8cc706f02dda0a,NORMAL,No,MEDIUM,0,0.51,,0.344
MARIE,0xc0a9480f4bc78ce6f7eea766d82986c95fa251f6,NORMAL,No,MEDIUM,0,0.486,,0.378
JOGA,0xd50370bee8bff23bbb30ca558a1d0207dbc96ef2,NORMAL,No,MEDIUM,0,0.484,,0.345
BTC6900,0x5caa5c27abf431303d2c27a5665b4b9dbd7a23b1,NORMAL,No,LOW,0,0.482,,0.296
DATAI,0x8e21856edada501a9cd5cb8b92ac632908c90c2f,NORMAL,No,MEDIUM,0,0.477,,0.364
GLAI,0xc0a40072ad30c773a03592261849f3dc865adb23,NORMAL,No,LOW,0,0.469,,0.188
SATOSHIT,0xaccfd598ef801178ed6c816c234b16ec51ae9f32,NORMAL,No,MEDIUM,0,0.465,,0.248
VSN,0x699ccf919c1dfdfa4c374292f42cadc9899bf753,NORMAL,No,HIGH,0,0.463,,0.045
GROK,0x2bb84fd8f7ed0ffae3da36ad60d4d7840bdeeada,NORMAL,No,MEDIUM,0,0.462,,0.018
APU,0x594daad7d77592a2b97b725a7ad59d7e188b5bfa,NORMAL,No,HIGH,0,0.456,,0.021
HYPER,0x840a6c2193ff5fda773ca9bb4128affbd552a5a2,FRAUD,Yes,HIGH,0,0.451,,0.086
ALPHA,0x4065289877f2c4f63fec3db966f1aa39f15d1411,NORMAL,No,MEDIUM,0,0.45,,0.368
wojak,0x8de39b057cc6522230ab19c0205080a8663331ef,NORMAL,No,HIGH,0,0.449,,0.453
VALENTINE,0xa013bea5c6bda4b84a0da54e339a3f60254158cc,NORMAL,No,LOW,0,0.448,,0.38
ETH6900,0x3081f70000e8cf8be2afcae3db6b9d9c796caec5,NORMAL,No,MEDIUM,0,0.448,,0.358
ZAMA,0xa12cc123ba206d4031d1c7f6223d1c2ec249f4f3,NORMAL,No,HIGH,0,0.448,,0.27
小白,0x642ee4b1f054da33bc6003ad0278f9a27478caf5,NORMAL,No,LOW,0,0.448,,0.254
cbETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,NORMAL,No,HIGH,0,0.446,,0.039
MORPHO,0x58d97b57bb95320f9a05dc918aef65434969c2b2,NORMAL,No,HIGH,0,0.445,,0.021
fric,0x3e05284ff11a92d66e44b6b3ea70533729670257,NORMAL,No,MEDIUM,0,0.439,,0.176
BOME,0x634769eb87542eaf41c0008c05d5d8f5d8bec3a5,NORMAL,No,MEDIUM,0,0.431,,0.025
ZKP,0x3a5fc6f8627e6a121a246ac5f233dff6f747622e,NORMAL,No,MEDIUM,0,0.43,,0.314
Imagine,0xd427b95c9d3a3cd2cb515284f63ebebd201f3d83,NORMAL,No,MEDIUM,0,0.428,,0.359
KERMIT,0xc8e143c0994415f3e55eb20efb17c21c2c3c587e,NORMAL,No,MEDIUM,0,0.389,,0.356
USDA,0x0000206329b97db379d5e1bf586bbdb969c63274,BENIGN,No,HIGH,0,0.366,,0.083
mETH,0x5d4c6648cefcdf00a2a8bc8ee93893ef0d9a60f6,NORMAL,No,MEDIUM,0,0.362,,0.383
BEAM,0x62d0a8458ed7719fdaf978fe5929c6d342b0bfce,NORMAL,No,HIGH,0,0.316,,0.023
SAYLOR,0x8fcb2ea765184c38daee527205388ec5dcc1c91c,NORMAL,No,MEDIUM,0,0.266,,0.396
